step,source,0.0,0.2,0.4
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,2,0,0,0
17,3,0,1,1
18,4,0,1,1
19,5,0,1,2
20,5,0,1,2
21,6,1,2,3
22,7,2,3,4
23,8,3,4,5
24,9,4,5,6
25,10,5,6,7
26,11,6,7,8
27,12,7,8,9
28,13,8,9,10
29,14,9,10,11
30,15,10,11,12
31,16,11,12,13
32,17,12,13,14
33,18,13,14,15
34,19,14,15,16
35,20,15,16,17
36,21,16,17,18
37,22,17,18,19
38,23,18,19,20
39,24,19,20,21
